Region,Club,Address,City,State,ZipCode,Type,Sheets,Year_Fnded,Latitude,Longitude
Dakota Territory Curling Association,Crosby Curling Club,1002 2nd St SE,Crosby,North Dakota,58730.0,Dedicated,3.0,,48.904050399999996,-103.2943751
Minnesota Curling Association,Walker Curling Club,105 Tower Ave,Walker,Walker,56484.0,Arena,4.0,,47.0937,-94.57491999999999
Dakota Territory Curling Association,Grand Forks Curling Club,1124 7th Ave S,Grand Forks,North Dakota,58201.0,Dedicated,4.0,,47.91592,-97.04266
Grand National Curling Club,Blackstone Valley Curling Club,121 Plain St,Hopedale,Massachusetts,1747.0,Arena,,2016,42.10314,-71.51524
Dakota Territory Curling Association,Langdon Curling Club,1302 4th Street,Langdon,North Dakota,58249.0,Arena,4.0,,48.7656,-98.37006
Mountain Pacific Curling Association,Orange County Curling Club,13071 Springdale St,Westminster,California,92683.0,Arena,,2010,33.77337,-118.02306999999999
Unaffiliated Clubs,SoCal Curling Club,131 W Easy St,Simi Valley,California,93065.0,Arena,,2006,34.28095,-118.80228000000001
Wisconsin State Curling Association,Blackhawk Curling Club,1400 Craig Ave,Janesville,Wisconsin,53545.0,Dedicated,3.0,,42.690828700000004,-89.0057485
Washington State Curling Association,Granite Curling Club,1440 N 128th St,Seattle,Washington,98133.0,Dedicated,5.0,1961,47.72291,-122.34066000000001
Minnesota Curling Association,Owatonna Curling Club,1440 S Elm Ave,Owatonna,Minnesota,55060.0,Dedicated,2.0,,44.069753000000006,-93.2236997
Grand National Curling Club,Marlborough Curling Club,15 Bridle Ln,Marlborough,Massachusetts,1581.0,Arena,,2015,42.286871999999995,-71.620475
Midwest Curling Association,Curling Club of Kankakee,1601 River Rd,Kankakee,Illinois,60901.0,Inactive,,,41.09163,-87.84531
Unaffiliated Clubs,Casper Curling Club,1801 E 4th St,Casper,Wyoming,82601.0,Arena,,,42.84333,-106.30033999999999
